name,kind,note,sense,num_variables,num_rows,status,primal_objective,dual_objective,duality_gap,dual_status,dual_involution_ok,max_constraint_residual,max_reduced_cost_identity,max_complementarity,max_dual_feasibility_violation,complementarity_ok,solve_time,axis,value,baseline_value,delta,baseline_shadow_price,prediction_rule,break_even_value,predicted_objective,prediction_error,prediction_holds,shadow_row
cap_L_50,sensitivity_capacity,capacity_L,max,3,5,OPTIMAL,1850.0,1850.0,0.0,OPTIMAL,True,0.0,0.0,0.0,0.0,True,9.6e-05,capacity_L,50.0,80.0,-30.0,10.000000000000004,rhs_linear,,2000.0,150.0,False,cap_L
cap_L_60,sensitivity_capacity,capacity_L,max,3,5,OPTIMAL,2100.0,2100.0,0.0,OPTIMAL,True,0.0,0.0,1.7763568394002505e-13,0.0,True,0.000113,capacity_L,60.0,80.0,-20.0,10.000000000000004,rhs_linear,,2100.0,0.0,True,cap_L
cap_L_70,sensitivity_capacity,capacity_L,max,3,5,OPTIMAL,2200.0,2200.0,0.0,OPTIMAL,True,0.0,0.0,2.1316282072803003e-13,0.0,True,0.000112,capacity_L,70.0,80.0,-10.0,10.000000000000004,rhs_linear,,2200.0,0.0,True,cap_L
cap_L_80,sensitivity_capacity,capacity_L,max,3,5,OPTIMAL,2300.0,2300.0,0.0,OPTIMAL,True,0.0,0.0,2.1316282072803003e-13,0.0,True,0.000109,capacity_L,80.0,80.0,0.0,10.000000000000004,rhs_linear,,2300.0,0.0,True,cap_L
cap_L_90,sensitivity_capacity,capacity_L,max,3,5,OPTIMAL,2399.9999999999995,2400.0,4.547473508864641e-13,OPTIMAL,True,0.0,0.0,2.368475785867001e-13,7.105427357601002e-15,True,9.8e-05,capacity_L,90.0,80.0,10.0,10.000000000000004,rhs_linear,,2400.0,4.547473508864641e-13,True,cap_L
cap_L_100,sensitivity_capacity,capacity_L,max,3,5,OPTIMAL,2466.666666666666,2466.6666666666665,4.547473508864641e-13,OPTIMAL,True,0.0,0.0,2.368475785867001e-13,7.105427357601002e-15,True,0.000111,capacity_L,100.0,80.0,20.0,10.000000000000004,rhs_linear,,2500.0,33.33333333333394,False,cap_L
cap_L_110,sensitivity_capacity,capacity_L,max,3,5,OPTIMAL,2533.333333333333,2533.333333333333,0.0,OPTIMAL,True,0.0,0.0,2.368475785867001e-13,7.105427357601002e-15,True,9.7e-05,capacity_L,110.0,80.0,30.0,10.000000000000004,rhs_linear,,2600.0,66.66666666666697,False,cap_L
cap_L_120,sensitivity_capacity,capacity_L,max,3,5,OPTIMAL,2600.0,2600.0,0.0,OPTIMAL,True,0.0,0.0,1.4210854715202006e-13,7.105427357601002e-15,True,0.000102,capacity_L,120.0,80.0,40.0,10.000000000000004,rhs_linear,,2700.0,100.0,False,cap_L
cap_L_130,sensitivity_capacity,capacity_L,max,3,5,OPTIMAL,2650.0,2649.9999999999995,4.547473508864641e-13,OPTIMAL,True,0.0,0.0,2.842170943040402e-13,0.0,True,0.000105,capacity_L,130.0,80.0,50.0,10.000000000000004,rhs_linear,,2800.0,150.0,False,cap_L
cap_L_140,sensitivity_capacity,capacity_L,max,3,5,OPTIMAL,2700.0,2699.9999999999995,4.547473508864641e-13,OPTIMAL,True,0.0,0.0,2.842170943040402e-13,0.0,True,0.000175,capacity_L,140.0,80.0,60.0,10.000000000000004,rhs_linear,,2900.0,200.0,False,cap_L
