instance,group,method,successful,failed,optimal_count,reference_type,reference,mean_objective,best_objective,mean_gap,mean_gap_to_reference,mean_wall_time,mean_iterations
single_12,main,milp_tight,1,0,0,proven_by_solver,532.0,543.0,543.0,0.898391,0.020677,10.483755,97380
single_12,main,milp_warmstart,1,0,1,proven_by_solver,532.0,532.0,532.0,0.0,0.0,0.032589,0
single_12,tl_3,milp_tight,1,0,0,proven_by_solver,532.0,543.0,543.0,0.898391,0.020677,3.022596,223
single_12,tl_30,milp_tight,1,0,0,proven_by_solver,532.0,543.0,543.0,0.898391,0.020677,30.241767,356638
single_20,main,heur_edd,1,0,0,proven_by_solver,903.0,922.0,922.0,,0.021041,0.000248,
single_20,main,heur_lpt,1,0,0,proven_by_solver,903.0,2094.0,2094.0,,1.318937,0.000194,
single_20,main,heur_spt,1,0,0,proven_by_solver,903.0,903.0,903.0,,0.0,0.000399,
single_20,main,heur_wspt,1,0,0,proven_by_solver,903.0,1003.0,1003.0,,0.110742,0.00045,
single_20,main,milp_alt,1,0,1,proven_by_solver,903.0,903.0,903.0,0.0,0.0,0.702511,0
single_20,main,milp_fixing,1,0,1,proven_by_solver,903.0,903.0,903.0,0.0,0.0,0.024377,0
single_20,main,milp_loose,1,0,0,proven_by_solver,903.0,1089.0,1089.0,0.938424,0.20598,10.040488,926
single_20,main,milp_tight,1,0,0,proven_by_solver,903.0,968.0,968.0,0.932325,0.071982,10.047689,727
single_20,main,milp_warmstart,1,0,1,proven_by_solver,903.0,903.0,903.0,0.0,0.0,0.053589,0
single_20,tl_3,milp_tight,1,0,0,proven_by_solver,903.0,968.0,968.0,0.932325,0.071982,3.041932,36
single_20,tl_30,milp_tight,1,0,0,proven_by_solver,903.0,968.0,968.0,0.932325,0.071982,30.055536,3633
single_8,main,heur_edd,1,0,0,optimum,85.0,85.0,85.0,,0.0,0.000103,
single_8,main,heur_lpt,1,0,0,optimum,85.0,195.0,195.0,,1.294118,9.6e-05,
single_8,main,heur_spt,1,0,0,optimum,85.0,85.0,85.0,,0.0,9.9e-05,
single_8,main,heur_wspt,1,0,0,optimum,85.0,101.0,101.0,,0.188235,0.000382,
single_8,main,milp_alt,1,0,1,optimum,85.0,85.0,85.0,0.0,0.0,0.148305,0
single_8,main,milp_fixing,1,0,1,optimum,85.0,85.0,85.0,0.0,0.0,0.010056,0
single_8,main,milp_loose,1,0,1,optimum,85.0,85.0,85.0,0.0,0.0,1.218905,124
single_8,main,milp_tight,1,0,1,optimum,85.0,85.0,85.0,0.0,0.0,1.34333,130
single_8,main,milp_warmstart,1,0,1,optimum,85.0,85.0,85.0,0.0,0.0,0.010747,0
single_8,tl_3,milp_tight,1,0,1,optimum,85.0,85.0,85.0,0.0,0.0,1.191774,130
single_8,tl_30,milp_tight,1,0,1,optimum,85.0,85.0,85.0,0.0,0.0,1.228553,130
