run_id,instance,input_sha256,group,method,seed,objective_name,time_limit,status,objective,best_bound,gap,iterations,build_time,solve_time,wall_time,validation,failure_reason,reference_type,reference,gap_to_reference
parallel_8__main__cpsat_parallel__0,parallel_8,01b40050c8ce27a7ae6cd0f27b766830c216def31464919ef1ac6f9d548670a1,main,cpsat_parallel,0,makespan,10.0,OPTIMAL,29.0,29.0,0.0,227,0.001793,0.009843,0.011635,,,proven_by_solver,29.0,0.0
parallel_8__main__cpsat_symmetry__0,parallel_8,01b40050c8ce27a7ae6cd0f27b766830c216def31464919ef1ac6f9d548670a1,main,cpsat_symmetry,0,makespan,10.0,OPTIMAL,29.0,29.0,0.0,336,0.002396,0.015464,0.01786,,,proven_by_solver,29.0,0.0
parallel_8__main__milp_alt__0,parallel_8,01b40050c8ce27a7ae6cd0f27b766830c216def31464919ef1ac6f9d548670a1,main,milp_alt,0,makespan,10.0,OPTIMAL,29.0,29.0,0.0,11,0.067492,0.685112,0.752604,,,proven_by_solver,29.0,0.0
parallel_8__main__heur_parallel_lpt__0,parallel_8,01b40050c8ce27a7ae6cd0f27b766830c216def31464919ef1ac6f9d548670a1,main,heur_parallel_lpt,0,makespan,10.0,FEASIBLE,31.0,,,,0.0,0.000171,0.000171,,,proven_by_solver,29.0,0.06896551724137931
parallel_8__tl_3__cpsat_parallel__0,parallel_8,01b40050c8ce27a7ae6cd0f27b766830c216def31464919ef1ac6f9d548670a1,tl_3,cpsat_parallel,0,makespan,3.0,OPTIMAL,29.0,29.0,0.0,227,0.001196,0.007248,0.008444,,,proven_by_solver,29.0,0.0
parallel_8__tl_30__cpsat_parallel__0,parallel_8,01b40050c8ce27a7ae6cd0f27b766830c216def31464919ef1ac6f9d548670a1,tl_30,cpsat_parallel,0,makespan,30.0,OPTIMAL,29.0,29.0,0.0,227,0.001474,0.008018,0.009492,,,proven_by_solver,29.0,0.0
parallel_12__main__cpsat_parallel__0,parallel_12,2cfee1ab5c5b8053f2fcc8f82b5fed090e783330c677da957b81b9701616c194,main,cpsat_parallel,0,makespan,10.0,OPTIMAL,39.0,39.0,0.0,687,0.001651,0.019626,0.021276,,,proven_by_solver,39.0,0.0
parallel_12__main__cpsat_symmetry__0,parallel_12,2cfee1ab5c5b8053f2fcc8f82b5fed090e783330c677da957b81b9701616c194,main,cpsat_symmetry,0,makespan,10.0,OPTIMAL,39.0,39.0,0.0,3513,0.002704,0.093151,0.095855,,,proven_by_solver,39.0,0.0
parallel_12__main__milp_alt__0,parallel_12,2cfee1ab5c5b8053f2fcc8f82b5fed090e783330c677da957b81b9701616c194,main,milp_alt,0,makespan,10.0,OPTIMAL,39.0,39.0,0.0,8,0.161611,1.259902,1.421513,,,proven_by_solver,39.0,0.0
parallel_12__main__heur_parallel_lpt__0,parallel_12,2cfee1ab5c5b8053f2fcc8f82b5fed090e783330c677da957b81b9701616c194,main,heur_parallel_lpt,0,makespan,10.0,FEASIBLE,46.0,,,,0.0,0.000236,0.000236,,,proven_by_solver,39.0,0.1794871794871795
