run_id,instance,input_sha256,group,algorithm,seed,objective_name,budget,temperature,cooling,status,objective,evaluations,elapsed_seconds,reference_type,reference,gap,failure_reason
tiny_parallel__main__sa__1,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,sa,1,makespan,150,10.0,0.98,BUDGET,38.0,150,0.010731899994425476,optimum,38.0,0.0,
tiny_parallel__main__sa__2,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,sa,2,makespan,150,10.0,0.98,BUDGET,38.0,150,0.010859199974220246,optimum,38.0,0.0,
tiny_parallel__sa_t0.1_c0.98__sa__0,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,sa_t0.1_c0.98,sa,0,makespan,150,0.1,0.98,BUDGET,38.0,150,0.01071049994789064,optimum,38.0,0.0,
tiny_parallel__sa_t0.1_c0.98__sa__1,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,sa_t0.1_c0.98,sa,1,makespan,150,0.1,0.98,BUDGET,38.0,150,0.010750899964477867,optimum,38.0,0.0,
tiny_parallel__sa_t0.1_c0.98__sa__2,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,sa_t0.1_c0.98,sa,2,makespan,150,0.1,0.98,BUDGET,38.0,150,0.010653099976480007,optimum,38.0,0.0,
tiny_parallel__sa_t100.0_c0.98__sa__0,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,sa_t100.0_c0.98,sa,0,makespan,150,100.0,0.98,BUDGET,38.0,150,0.010689899965655059,optimum,38.0,0.0,
tiny_parallel__sa_t100.0_c0.98__sa__1,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,sa_t100.0_c0.98,sa,1,makespan,150,100.0,0.98,BUDGET,38.0,150,0.010701100050937384,optimum,38.0,0.0,
tiny_parallel__sa_t100.0_c0.98__sa__2,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,sa_t100.0_c0.98,sa,2,makespan,150,100.0,0.98,BUDGET,38.0,150,0.010722900042310357,optimum,38.0,0.0,
tiny_parallel__sa_t10.0_c0.9__sa__0,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,sa_t10.0_c0.9,sa,0,makespan,150,10.0,0.9,BUDGET,38.0,150,0.010728700028266758,optimum,38.0,0.0,
tiny_parallel__sa_t10.0_c0.9__sa__1,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,sa_t10.0_c0.9,sa,1,makespan,150,10.0,0.9,BUDGET,38.0,150,0.010785199992824346,optimum,38.0,0.0,
tiny_parallel__sa_t10.0_c0.9__sa__2,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,sa_t10.0_c0.9,sa,2,makespan,150,10.0,0.9,BUDGET,38.0,150,0.010729200032074004,optimum,38.0,0.0,
single_12__main__lpt__0,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,lpt,0,total_tardiness,150,10.0,0.98,BASELINE,719.0,1,0.000546499970369041,best-known,250.0,1.876,
single_12__main__lpt__1,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,lpt,1,total_tardiness,150,10.0,0.98,BASELINE,719.0,1,0.0002919000107795,best-known,250.0,1.876,
single_12__main__lpt__2,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,lpt,2,total_tardiness,150,10.0,0.98,BASELINE,719.0,1,0.00030620000325143337,best-known,250.0,1.876,
single_12__main__random__0,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,random,0,total_tardiness,150,10.0,0.98,BUDGET,303.0,150,0.02400949998991564,best-known,250.0,0.212,
single_12__main__random__1,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,random,1,total_tardiness,150,10.0,0.98,BUDGET,340.0,150,0.023690000001806766,best-known,250.0,0.36,
single_12__main__random__2,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,random,2,total_tardiness,150,10.0,0.98,BUDGET,296.0,150,0.02380329999141395,best-known,250.0,0.184,
single_12__main__first__0,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,first,0,total_tardiness,150,10.0,0.98,BUDGET,575.0,150,0.02260490000480786,best-known,250.0,1.3,
single_12__main__first__1,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,first,1,total_tardiness,150,10.0,0.98,BUDGET,575.0,150,0.022509100032038987,best-known,250.0,1.3,
single_12__main__first__2,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,first,2,total_tardiness,150,10.0,0.98,BUDGET,575.0,150,0.022579299984499812,best-known,250.0,1.3,
single_12__main__best__0,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,best,0,total_tardiness,150,10.0,0.98,BUDGET,529.0,150,0.023440100019797683,best-known,250.0,1.116,
single_12__main__best__1,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,best,1,total_tardiness,150,10.0,0.98,BUDGET,529.0,150,0.022525999986100942,best-known,250.0,1.116,
single_12__main__best__2,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,best,2,total_tardiness,150,10.0,0.98,BUDGET,529.0,150,0.022714800026733428,best-known,250.0,1.116,
single_12__main__multistart__0,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,multistart,0,total_tardiness,150,10.0,0.98,BUDGET,371.0,150,0.022666700009722263,best-known,250.0,0.484,
single_12__main__multistart__1,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,multistart,1,total_tardiness,150,10.0,0.98,BUDGET,322.0,150,0.02281090000178665,best-known,250.0,0.288,
single_12__main__multistart__2,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,multistart,2,total_tardiness,150,10.0,0.98,BUDGET,426.0,150,0.022733399993740022,best-known,250.0,0.704,
single_12__main__sa__0,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,sa,0,total_tardiness,150,10.0,0.98,BUDGET,263.0,150,0.022793599986471236,best-known,250.0,0.052,
single_12__main__sa__1,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,sa,1,total_tardiness,150,10.0,0.98,BUDGET,266.0,150,0.026346399972680956,best-known,250.0,0.064,
single_12__main__sa__2,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,sa,2,total_tardiness,150,10.0,0.98,BUDGET,256.0,150,0.024698699999134988,best-known,250.0,0.024,
single_12__sa_t0.1_c0.98__sa__0,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,sa_t0.1_c0.98,sa,0,total_tardiness,150,0.1,0.98,BUDGET,255.0,150,0.023278000007849187,best-known,250.0,0.02,
single_12__sa_t0.1_c0.98__sa__1,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,sa_t0.1_c0.98,sa,1,total_tardiness,150,0.1,0.98,BUDGET,270.0,150,0.025276600033976138,best-known,250.0,0.08,
single_12__sa_t0.1_c0.98__sa__2,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,sa_t0.1_c0.98,sa,2,total_tardiness,150,0.1,0.98,BUDGET,261.0,150,0.02268789999652654,best-known,250.0,0.044,
single_12__sa_t100.0_c0.98__sa__0,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,sa_t100.0_c0.98,sa,0,total_tardiness,150,100.0,0.98,BUDGET,288.0,150,0.02256190002663061,best-known,250.0,0.152,
single_12__sa_t100.0_c0.98__sa__1,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,sa_t100.0_c0.98,sa,1,total_tardiness,150,100.0,0.98,BUDGET,293.0,150,0.02284350001718849,best-known,250.0,0.172,
single_12__sa_t100.0_c0.98__sa__2,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,sa_t100.0_c0.98,sa,2,total_tardiness,150,100.0,0.98,BUDGET,267.0,150,0.022842800011858344,best-known,250.0,0.068,
single_12__sa_t10.0_c0.9__sa__0,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,sa_t10.0_c0.9,sa,0,total_tardiness,150,10.0,0.9,BUDGET,255.0,150,0.02263020002283156,best-known,250.0,0.02,
single_12__sa_t10.0_c0.9__sa__1,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,sa_t10.0_c0.9,sa,1,total_tardiness,150,10.0,0.9,BUDGET,250.0,150,0.022544699953868985,best-known,250.0,0.0,
single_12__sa_t10.0_c0.9__sa__2,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,sa_t10.0_c0.9,sa,2,total_tardiness,150,10.0,0.9,BUDGET,261.0,150,0.022654799977317452,best-known,250.0,0.044,
parallel_12__main__lpt__0,parallel_12,8af7c957e42e17ad0f5c23a6406046dad98822892c51e335254dfcea536d7852,main,lpt,0,makespan,150,10.0,0.98,BASELINE,45.0,1,0.0003171999705955386,best-known,43.0,0.046511627906976744,
parallel_12__main__lpt__1,parallel_12,8af7c957e42e17ad0f5c23a6406046dad98822892c51e335254dfcea536d7852,main,lpt,1,makespan,150,10.0,0.98,BASELINE,45.0,1,0.0002785000251606107,best-known,43.0,0.046511627906976744,
parallel_12__main__lpt__2,parallel_12,8af7c957e42e17ad0f5c23a6406046dad98822892c51e335254dfcea536d7852,main,lpt,2,makespan,150,10.0,0.98,BASELINE,45.0,1,0.0003034999826923013,best-known,43.0,0.046511627906976744,
parallel_12__main__random__0,parallel_12,8af7c957e42e17ad0f5c23a6406046dad98822892c51e335254dfcea536d7852,main,random,0,makespan,150,10.0,0.98,BUDGET,44.0,150,0.025629599986132234,best-known,43.0,0.023255813953488372,
parallel_12__main__random__1,parallel_12,8af7c957e42e17ad0f5c23a6406046dad98822892c51e335254dfcea536d7852,main,random,1,makespan,150,10.0,0.98,BUDGET,45.0,150,0.025090400013141334,best-known,43.0,0.046511627906976744,
parallel_12__main__random__2,parallel_12,8af7c957e42e17ad0f5c23a6406046dad98822892c51e335254dfcea536d7852,main,random,2,makespan,150,10.0,0.98,BUDGET,44.0,150,0.025336299964692444,best-known,43.0,0.023255813953488372,
parallel_12__main__first__0,parallel_12,8af7c957e42e17ad0f5c23a6406046dad98822892c51e335254dfcea536d7852,main,first,0,makespan,150,10.0,0.98,BUDGET,45.0,150,0.023725900042336434,best-known,43.0,0.046511627906976744,
parallel_12__main__first__1,parallel_12,8af7c957e42e17ad0f5c23a6406046dad98822892c51e335254dfcea536d7852,main,first,1,makespan,150,10.0,0.98,BUDGET,45.0,150,0.023652899952139705,best-known,43.0,0.046511627906976744,
parallel_12__main__first__2,parallel_12,8af7c957e42e17ad0f5c23a6406046dad98822892c51e335254dfcea536d7852,main,first,2,makespan,150,10.0,0.98,BUDGET,45.0,150,0.023614700010512024,best-known,43.0,0.046511627906976744,
parallel_12__main__best__0,parallel_12,8af7c957e42e17ad0f5c23a6406046dad98822892c51e335254dfcea536d7852,main,best,0,makespan,150,10.0,0.98,BUDGET,45.0,150,0.02418419998139143,best-known,43.0,0.046511627906976744,
parallel_12__main__best__1,parallel_12,8af7c957e42e17ad0f5c23a6406046dad98822892c51e335254dfcea536d7852,main,best,1,makespan,150,10.0,0.98,BUDGET,45.0,150,0.023577799962367862,best-known,43.0,0.046511627906976744,
parallel_12__main__best__2,parallel_12,8af7c957e42e17ad0f5c23a6406046dad98822892c51e335254dfcea536d7852,main,best,2,makespan,150,10.0,0.98,BUDGET,45.0,150,0.023621600004844368,best-known,43.0,0.046511627906976744,
parallel_12__main__multistart__0,parallel_12,8af7c957e42e17ad0f5c23a6406046dad98822892c51e335254dfcea536d7852,main,multistart,0,makespan,150,10.0,0.98,BUDGET,45.0,150,0.023488899983931333,best-known,43.0,0.046511627906976744,
parallel_12__main__multistart__1,parallel_12,8af7c957e42e17ad0f5c23a6406046dad98822892c51e335254dfcea536d7852,main,multistart,1,makespan,150,10.0,0.98,BUDGET,45.0,150,0.02421110001159832,best-known,43.0,0.046511627906976744,
parallel_12__main__multistart__2,parallel_12,8af7c957e42e17ad0f5c23a6406046dad98822892c51e335254dfcea536d7852,main,multistart,2,makespan,150,10.0,0.98,BUDGET,45.0,150,0.02616949996445328,best-known,43.0,0.046511627906976744,
parallel_12__main__sa__0,parallel_12,8af7c957e42e17ad0f5c23a6406046dad98822892c51e335254dfcea536d7852,main,sa,0,makespan,150,10.0,0.98,BUDGET,45.0,150,0.026279000041540712,best-known,43.0,0.046511627906976744,
parallel_12__main__sa__1,parallel_12,8af7c957e42e17ad0f5c23a6406046dad98822892c51e335254dfcea536d7852,main,sa,1,makespan,150,10.0,0.98,BUDGET,44.0,150,0.024606099992524832,best-known,43.0,0.023255813953488372,
parallel_12__main__sa__2,parallel_12,8af7c957e42e17ad0f5c23a6406046dad98822892c51e335254dfcea536d7852,main,sa,2,makespan,150,10.0,0.98,BUDGET,45.0,150,0.025754899950698018,best-known,43.0,0.046511627906976744,
parallel_12__sa_t0.1_c0.98__sa__0,parallel_12,8af7c957e42e17ad0f5c23a6406046dad98822892c51e335254dfcea536d7852,sa_t0.1_c0.98,sa,0,makespan,150,0.1,0.98,BUDGET,45.0,150,0.0245604999945499,best-known,43.0,0.046511627906976744,
parallel_12__sa_t0.1_c0.98__sa__1,parallel_12,8af7c957e42e17ad0f5c23a6406046dad98822892c51e335254dfcea536d7852,sa_t0.1_c0.98,sa,1,makespan,150,0.1,0.98,BUDGET,44.0,150,0.023844299954362214,best-known,43.0,0.023255813953488372,
parallel_12__sa_t0.1_c0.98__sa__2,parallel_12,8af7c957e42e17ad0f5c23a6406046dad98822892c51e335254dfcea536d7852,sa_t0.1_c0.98,sa,2,makespan,150,0.1,0.98,BUDGET,45.0,150,0.023579100030474365,best-known,43.0,0.046511627906976744,
parallel_12__sa_t100.0_c0.98__sa__0,parallel_12,8af7c957e42e17ad0f5c23a6406046dad98822892c51e335254dfcea536d7852,sa_t100.0_c0.98,sa,0,makespan,150,100.0,0.98,BUDGET,44.0,150,0.02372479997575283,best-known,43.0,0.023255813953488372,
parallel_12__sa_t100.0_c0.98__sa__1,parallel_12,8af7c957e42e17ad0f5c23a6406046dad98822892c51e335254dfcea536d7852,sa_t100.0_c0.98,sa,1,makespan,150,100.0,0.98,BUDGET,45.0,150,0.023690300004091114,best-known,43.0,0.046511627906976744,
parallel_12__sa_t100.0_c0.98__sa__2,parallel_12,8af7c957e42e17ad0f5c23a6406046dad98822892c51e335254dfcea536d7852,sa_t100.0_c0.98,sa,2,makespan,150,100.0,0.98,BUDGET,44.0,150,0.023771699983626604,best-known,43.0,0.023255813953488372,
parallel_12__sa_t10.0_c0.9__sa__0,parallel_12,8af7c957e42e17ad0f5c23a6406046dad98822892c51e335254dfcea536d7852,sa_t10.0_c0.9,sa,0,makespan,150,10.0,0.9,BUDGET,43.0,150,0.024140299996361136,best-known,43.0,0.0,
parallel_12__sa_t10.0_c0.9__sa__1,parallel_12,8af7c957e42e17ad0f5c23a6406046dad98822892c51e335254dfcea536d7852,sa_t10.0_c0.9,sa,1,makespan,150,10.0,0.9,BUDGET,45.0,150,0.023504399985540658,best-known,43.0,0.046511627906976744,
parallel_12__sa_t10.0_c0.9__sa__2,parallel_12,8af7c957e42e17ad0f5c23a6406046dad98822892c51e335254dfcea536d7852,sa_t10.0_c0.9,sa,2,makespan,150,10.0,0.9,BUDGET,45.0,150,0.023598300002049655,best-known,43.0,0.046511627906976744,
parallel_24__main__lpt__0,parallel_24,54f0c68424dbeeff0dc38517d6855d9d1da02545b8f913ed8b969bc35c6b9be3,main,lpt,0,makespan,150,10.0,0.98,BASELINE,95.0,1,0.0010200999677181244,best-known,90.0,0.05555555555555555,
