run_id,instance,input_sha256,group,algorithm,seed,objective_name,budget,temperature,cooling,status,objective,evaluations,elapsed_seconds,reference_type,reference,gap,failure_reason
tiny_parallel__main__multistart__0,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,multistart,0,makespan,150,10.0,0.98,BUDGET,38.0,150,0.01156100002117455,optimum,38.0,0.0,
tiny_parallel__main__multistart__1,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,multistart,1,makespan,150,10.0,0.98,BUDGET,38.0,150,0.011520800006110221,optimum,38.0,0.0,
tiny_parallel__main__multistart__2,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,multistart,2,makespan,150,10.0,0.98,BUDGET,38.0,150,0.011530199961271137,optimum,38.0,0.0,
tiny_parallel__main__sa__0,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,sa,0,makespan,150,10.0,0.98,BUDGET,38.0,150,0.010813900036737323,optimum,38.0,0.0,
tiny_parallel__main__sa__1,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,sa,1,makespan,150,10.0,0.98,BUDGET,38.0,150,0.010798800038173795,optimum,38.0,0.0,
tiny_parallel__main__sa__2,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,sa,2,makespan,150,10.0,0.98,BUDGET,38.0,150,0.010748000000603497,optimum,38.0,0.0,
tiny_parallel__sa_t0.1_c0.98__sa__0,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,sa_t0.1_c0.98,sa,0,makespan,150,0.1,0.98,BUDGET,38.0,150,0.010751199966762215,optimum,38.0,0.0,
tiny_parallel__sa_t0.1_c0.98__sa__1,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,sa_t0.1_c0.98,sa,1,makespan,150,0.1,0.98,BUDGET,38.0,150,0.011130999948363751,optimum,38.0,0.0,
tiny_parallel__sa_t0.1_c0.98__sa__2,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,sa_t0.1_c0.98,sa,2,makespan,150,0.1,0.98,BUDGET,38.0,150,0.010805699974298477,optimum,38.0,0.0,
tiny_parallel__sa_t100.0_c0.98__sa__0,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,sa_t100.0_c0.98,sa,0,makespan,150,100.0,0.98,BUDGET,38.0,150,0.011469599965494126,optimum,38.0,0.0,
tiny_parallel__sa_t100.0_c0.98__sa__1,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,sa_t100.0_c0.98,sa,1,makespan,150,100.0,0.98,BUDGET,38.0,150,0.011145800002850592,optimum,38.0,0.0,
tiny_parallel__sa_t100.0_c0.98__sa__2,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,sa_t100.0_c0.98,sa,2,makespan,150,100.0,0.98,BUDGET,38.0,150,0.011047100007999688,optimum,38.0,0.0,
tiny_parallel__sa_t10.0_c0.9__sa__0,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,sa_t10.0_c0.9,sa,0,makespan,150,10.0,0.9,BUDGET,38.0,150,0.011604400002397597,optimum,38.0,0.0,
tiny_parallel__sa_t10.0_c0.9__sa__1,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,sa_t10.0_c0.9,sa,1,makespan,150,10.0,0.9,BUDGET,38.0,150,0.012016900000162423,optimum,38.0,0.0,
tiny_parallel__sa_t10.0_c0.9__sa__2,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,sa_t10.0_c0.9,sa,2,makespan,150,10.0,0.9,BUDGET,38.0,150,0.011806099966634065,optimum,38.0,0.0,
single_12__main__lpt__0,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,lpt,0,total_tardiness,150,10.0,0.98,BASELINE,719.0,1,0.00027679995400831103,best-known,250.0,1.876,
single_12__main__lpt__1,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,lpt,1,total_tardiness,150,10.0,0.98,BASELINE,719.0,1,0.00025189999723806977,best-known,250.0,1.876,
single_12__main__lpt__2,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,lpt,2,total_tardiness,150,10.0,0.98,BASELINE,719.0,1,0.0002634000265970826,best-known,250.0,1.876,
single_12__main__random__0,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,random,0,total_tardiness,150,10.0,0.98,BUDGET,303.0,150,0.0249634999781847,best-known,250.0,0.212,
single_12__main__random__1,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,random,1,total_tardiness,150,10.0,0.98,BUDGET,340.0,150,0.025157199997920543,best-known,250.0,0.36,
